
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
A8:6E:84:B0:8C:23, 2025-03-05 09:58:04, 2025-03-05 09:59:09,  9, 360, WPA2, CCMP, PSK, -15,      169,       67,   0.  0.  0.  0,   4, Pod2, 
E0:CB:BC:8D:DD:07, 2025-03-05 09:58:04, 2025-03-05 09:59:09,  1, 540, WPA2, CCMP, PSK, -36,       48,        4,   0.  0.  0.  0,   7, EVSC-CS, 
E6:CB:BC:8D:DD:07, 2025-03-05 09:58:04, 2025-03-05 09:59:09,  1, 540, WPA2, CCMP, PSK, -36,       49,        0,   0.  0.  0.  0,  12, EVSC-Student, 
EA:CB:BC:8D:DD:07, 2025-03-05 09:58:04, 2025-03-05 09:59:09,  1, 540, WPA3 WPA2, CCMP, SAE PSK, -36,       49,        0,   0.  0.  0.  0,   4, EVSC, 
EE:CB:BC:8D:DD:07, 2025-03-05 09:58:04, 2025-03-05 09:59:09,  1, 540, OPN, ,   , -36,       49,        0,   0.  0.  0.  0,  10, EVSC-Guest, 
F2:CB:BC:8D:DD:07, 2025-03-05 09:58:04, 2025-03-05 09:59:09,  1, 540, WPA2, CCMP, PSK, -36,       49,        0,   0.  0.  0.  0,   0, , 
DE:CB:BC:8D:DD:07, 2025-03-05 09:58:04, 2025-03-05 09:59:09,  1, 540, WPA2, CCMP, PSK, -36,       49,        0,   0.  0.  0.  0,   0, , 
40:AE:30:6A:AA:02, 2025-03-05 09:58:04, 2025-03-05 09:59:09,  3, 360, WPA2, CCMP, PSK, -29,      278,        0,   0.  0.  0.  0,   9, CYB_Rogue, 
A8:6E:84:B0:F1:03, 2025-03-05 09:58:04, 2025-03-05 09:59:09,  3, 360, WPA2, CCMP, PSK, -33,      201,        0,   0.  0.  0.  0,   4, Row1, 
CA:6E:84:B0:F1:03, 2025-03-05 09:58:04, 2025-03-05 09:59:08,  3, 360, WPA2, CCMP, PSK, -33,      258,        0,   0.  0.  0.  0,   0, , 
42:AE:30:2A:AA:02, 2025-03-05 09:58:04, 2025-03-05 09:59:09,  3, 360, WPA2, CCMP, PSK, -28,      260,        0,   0.  0.  0.  0,   0, , 
6E:6C:BF:70:77:53, 2025-03-05 09:58:04, 2025-03-05 09:59:09,  1, 130, WPA2, CCMP, PSK, -31,       45,        2,   0.  0.  0.  0,   8, SolveMe2, 
A8:6E:84:B0:A9:8F, 2025-03-05 09:58:04, 2025-03-05 09:59:09,  9, 360, WPA2, CCMP, PSK, -33,      147,        0,   0.  0.  0.  0,   4, Pod3, 
CA:6E:84:B0:A9:8F, 2025-03-05 09:58:04, 2025-03-05 09:59:09,  9, 360, WPA2, CCMP, PSK, -33,      206,        0,   0.  0.  0.  0,   0, , 
80:CC:9C:9F:41:F0, 2025-03-05 09:58:04, 2025-03-05 09:59:07,  4, 130, WPA2, CCMP, PSK, -56,       98,       12,   0.  0.  0.  0,  11, CYB_Network, 
CA:6E:84:B0:8C:23, 2025-03-05 09:58:05, 2025-03-05 09:59:09,  9, 360, WPA2, CCMP, PSK, -16,      161,        0,   0.  0.  0.  0,   0, , 
00:30:44:31:EC:95, 2025-03-05 09:58:06, 2025-03-05 09:58:35, 11, 130, WPA2, CCMP, PSK, -86,        5,        0,   0.  0.  0.  0,  12, MOBILE_ADMIN, 
02:30:44:31:EC:95, 2025-03-05 09:58:06, 2025-03-05 09:58:50, 11, 130, OPN, ,   , -85,        6,        0,   0.  0.  0.  0,  11, MOBILE_WIFI, 
B2:4F:29:41:49:A3, 2025-03-05 09:58:07, 2025-03-05 09:59:08,  6, 130, WPA2, CCMP, PSK, -38,       41,        0,   0.  0.  0.  0,  14, GL-AXT1800-113, 
5E:60:BA:93:6A:E4, 2025-03-05 09:58:07, 2025-03-05 09:59:08,  6,  65, WPA2, CCMP, PSK, -85,       16,        0,   0.  0.  0.  0,  22, DIRECT-E4-HP 3001dw LJ, 
DE:CB:BC:8D:DB:9A, 2025-03-05 09:58:07, 2025-03-05 09:58:47,  6, 540, WPA2, CCMP, PSK, -86,        5,        0,   0.  0.  0.  0,   0, , 
E6:CB:BC:8D:DB:9A, 2025-03-05 09:58:07, 2025-03-05 09:58:17,  6, 540, WPA2, CCMP, PSK, -82,        1,        0,   0.  0.  0.  0,  12, EVSC-Student, 
EA:CB:BC:8D:DB:9A, 2025-03-05 09:58:07, 2025-03-05 09:58:17,  6, 540, WPA3 WPA2, CCMP, SAE PSK, -82,        1,        0,   0.  0.  0.  0,   4, EVSC, 
40:AE:30:6A:AA:01, 2025-03-05 09:58:12, 2025-03-05 09:58:13, -1,  -1, , ,   , -76,        0,        0,   0.  0.  0.  0,   0, , 
E6:CB:BC:8D:DB:8F, 2025-03-05 09:58:14, 2025-03-05 09:58:14,  6, 540, WPA2, CCMP, PSK, -84,        1,        0,   0.  0.  0.  0,  12, EVSC-Student, 
F2:CB:BC:8D:DB:9A, 2025-03-05 09:58:14, 2025-03-05 09:58:21,  6, 540, WPA2, CCMP, PSK, -82,        3,        0,   0.  0.  0.  0,   0, , 
EE:CB:BC:8D:DB:9A, 2025-03-05 09:58:17, 2025-03-05 09:58:17,  6, 540, OPN, ,   , -84,        1,        0,   0.  0.  0.  0,  10, EVSC-Guest, 
00:00:00:00:00:00, 2025-03-05 09:58:18, 2025-03-05 09:58:54,  1,  -1, OPN, ,   ,  -1,        0,        6,   0.  0.  0.  0,   0, , 
32:8D:DB:7A:DF:73, 2025-03-05 09:58:32, 2025-03-05 09:58:32, 11,  18, OPN, ,   , -83,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
A6:9B:AA:F6:02:0E, 2025-03-05 09:58:06, 2025-03-05 09:58:07, -53,        4, (not associated) ,
BA:E1:75:C5:2C:16, 2025-03-05 09:58:07, 2025-03-05 09:58:07, -53,        2, (not associated) ,
E2:CB:9C:8D:DA:25, 2025-03-05 09:58:07, 2025-03-05 09:58:07, -87,        1, (not associated) ,
E2:CB:9C:8D:DD:07, 2025-03-05 09:58:08, 2025-03-05 09:59:06, -39,        6, (not associated) ,
0E:8D:FB:7A:DF:73, 2025-03-05 09:58:09, 2025-03-05 09:59:01, -79,        3, (not associated) ,
D8:3A:DD:65:7D:78, 2025-03-05 09:58:15, 2025-03-05 09:58:33, -49,        2, 6E:6C:BF:70:77:53,
C6:25:DB:39:48:3D, 2025-03-05 09:58:15, 2025-03-05 09:58:15, -45,        1, (not associated) ,
8E:F9:39:A8:BE:84, 2025-03-05 09:58:17, 2025-03-05 09:58:18, -47,       10, (not associated) ,
DE:CB:BC:8D:DD:07, 2025-03-05 09:58:18, 2025-03-05 09:58:54, -35,        6, 00:00:00:00:00:00,
B8:27:EB:6F:F3:FC, 2025-03-05 09:58:18, 2025-03-05 09:58:19, -51,       13, (not associated) ,
EA:A6:FB:C8:2F:2E, 2025-03-05 09:58:19, 2025-03-05 09:58:20, -55,        7, (not associated) ,EVSC-Guest
B8:27:EB:59:5E:BD, 2025-03-05 09:58:23, 2025-03-05 09:58:23, -45,        6, (not associated) ,
D8:3A:DD:DB:BE:DD, 2025-03-05 09:58:27, 2025-03-05 09:58:35, -83,        2, (not associated) ,
00:C0:CA:B5:88:E9, 2025-03-05 09:58:28, 2025-03-05 09:58:28, -43,       67, (not associated) ,FindMe5G,IseeU,DontSpotMe
E2:CB:9C:8D:DB:9A, 2025-03-05 09:58:32, 2025-03-05 09:58:52, -75,        3, (not associated) ,
B6:73:95:60:23:79, 2025-03-05 09:58:34, 2025-03-05 09:58:34, -63,        1, (not associated) ,
C0:A5:E8:6A:CE:94, 2025-03-05 09:58:38, 2025-03-05 09:58:38, -28,        2, (not associated) ,CYB_Network
D8:3A:DD:DB:BE:EE, 2025-03-05 09:58:40, 2025-03-05 09:58:40, -45,        3, E0:CB:BC:8D:DD:07,
00:C0:CA:B5:9F:2F, 2025-03-05 09:58:41, 2025-03-05 09:58:42, -43,        4, (not associated) ,
B8:27:EB:6F:F8:C8, 2025-03-05 09:58:43, 2025-03-05 09:58:43, -47,        9, (not associated) ,
B8:27:EB:55:11:3C, 2025-03-05 09:58:44, 2025-03-05 09:58:44, -73,        1, (not associated) ,
B8:27:EB:D1:EE:4A, 2025-03-05 09:58:45, 2025-03-05 09:58:45, -45,       13, (not associated) ,
B8:27:EB:BD:03:AB, 2025-03-05 09:58:46, 2025-03-05 09:58:46, -37,       15, (not associated) ,
76:57:DD:36:EB:4A, 2025-03-05 09:58:48, 2025-03-05 09:58:48, -79,        1, (not associated) ,
C0:A5:E8:68:4C:9B, 2025-03-05 09:58:48, 2025-03-05 09:58:48, -53,        2, (not associated) ,Pod2
E2:CB:9C:8D:DB:8F, 2025-03-05 09:58:52, 2025-03-05 09:58:52, -77,        1, (not associated) ,
D8:F8:83:DC:38:3C, 2025-03-05 09:58:54, 2025-03-05 09:58:54, -34,        2, (not associated) ,EVSC-CS
B8:27:EB:B6:71:55, 2025-03-05 09:58:56, 2025-03-05 09:58:56, -41,        1, A8:6E:84:B0:8C:23,
0E:B8:27:8B:50:46, 2025-03-05 09:59:05, 2025-03-05 09:59:05, -55,        1, (not associated) ,
C0:A5:E8:6A:E6:F9, 2025-03-05 09:59:08, 2025-03-05 09:59:08, -63,        2, (not associated) ,EVSC-CS
6E:C2:8D:98:71:C1, 2025-03-05 09:59:09, 2025-03-05 09:59:09, -75,        1, (not associated) ,

